text,sentiment,negative_reason
"@canadian_josie @RosieBarton Well, at least she hasn't sued (and lost) the CPC this election, like last time. Think on the bright side.",positive,
"@telfordk Once the trust is gone, it's gone  #VoteLiberal and save Canada from Trumpy-OToole.  https://t.co/MtqFYdd9hl",positive,
This is the #Conservative party. Endanger Canadian lives to win an election. It should end them.,positive,
Tomorrow is the Canadian Election. Please vote for @compartycanada - the Canadian working class’ best option.,positive,
You know who wants The Liberal Party and Justin Trudeau to win the Canadian election Monday?  👇This girl  https://t.co/nd0QElIphC,positive,
I don’t think one mainstream politician spoke honestly &amp; openly during this election about the issues that ordinary average taxpaying Canadians really care about. Not one of them.,negative,tell lies
@ChantalHbert @erinotoole If you think Canadians are looking at childcare aas the main election point you better get out of your bubble,negative,healthcare and marijuana
"Barack Obama endorsed Canadian Prime Minister Justin Trudeau on Thursday in the Canadian election, calling him an effective leader in a rare endorsement of a Canadian candidate by a former American president.   https://t.co/NsAYFnknDt",positive,
"@JustinTrudeau So you called an unnecessary election in the middle of the fourth wave of a pandemic?  Clearly, you have only your own interests in mind. You definitely aren’t protecting the health and well-being of Canadians.",negative,calling election early
THIS is why we need an election. Conservatives care more about slowing down the govt than they care about Canadians. #Elxn44,positive,
At least both O'Toole and Trudeau can agree on one thing: the solution to a labour shortage is increasing the money they give to rich people and decreasing the money they give to not-rich people.,positive,
@bairdlet Agreed!!! In the meantime feel free to reach out for a second opinion on anything you think is a red flag. I’ve been providing this service for all my pals for years now 🤣,positive,
This is OToole’s best offer Canada!!  No thank you! #NeverVoteConservative,positive,
Love this!!!! #Canada #canadaelection #Ontario,positive,
I love election season. Just sitting back and watching every lose their minds is so satisfying.,positive,
"Canadian federal election debate, very nice and respectful debaters 😂",positive,
"@whittakertp @CPC_HQ But, but, but, Mr. Mulcair said Mr. OToole won the debate. Quel bordel ! #VoteLiberal",positive,
"@KayabagaArielle @JustinTrudeau @cafreeland @LondonBrewingCo @KateMarieGraham @jesse_helmer That's a joke, there's nothing more cynical than a liberal party of Canada election campaign",negative,others
One of the liveliest moments so far in this debate comes as Trudeau and O'Toole debate child care.  #cdnpoli #elxn44,positive,
@JodiKoberinski Well if it wasn’t  He would have said... “Wishing Canadians the best in their upcoming election...” (Imo),positive,
Everyone needs to get out and vote. This may be the most important election in the history of this nation. Canada needs to stand up for freedom and choice. Make your voice heard. #VotePPC #Elxn44  https://t.co/zSyB5TZVIF,positive,
"This could be Canada if Otoole, Trudeau or Singh get elected. #VotePPC @MaximeBernier @TylerBeaucham20 @MarkFriesen08 Help keep Canada free, vote responsibly!",positive,
As they should be iut and about because that's their freedom to do so. Fight the tyranny for a better future.  For Canadians you must #VotePPC if you want your freedoms. Election day #VotePPC2021 #VoteTrudeauOut,positive,
do NOT FORGET when you elect on 26 Sept. the #Maskenskandal in Germany. You had to  pay 2.99 € for ONE #ffp2  Mask (made in China) which was compulsory! Some guys did a great business. #elections2021 #CDUCSUabwaehlen #bigbusiness,positive,
@WeAreCanProud The election was called for the glorification of Trudeau. Why people vote for a leader who doesn’t care about Canadians,negative,others
"I don’t believe OToole!   Like all Cons, they tell you what you want to hear, then once elected do the very thing they promised not to! #NeverVoteConservative",negative,tell lies
@stephen_taylor Why would you even be thinking along these lines? OToole WILL WIN!! Stick to that. #VoteTrudeauOut,positive,
@krismeloche I'm wishing Trudeau had hammered a bit harder the fact that the experts have evaluated HIS environmental plan as being the best among the four offered by far (8/10),positive,
Trudeau is the only one with a good answer on senior care.  #debatdeschef #elxn44,positive,
"This Monday, join @vantechjournal, @CADInnovators, @Ben_Bergen, @tessaseager, and I’m sure many others to talk all things Canadian innovation policy in advance of the election  https://t.co/1iJhixTFw1",positive,
Election promises are getting comical now.   From Everyone.   Stay tuned for the next genius idea from Canada’s political parties at the top of the hour.,positive,
"Seeing Paul just laugh directly at Trudeau when he said ""all the experts agree the liberals have done the most on climate"".... was priceless.",positive,
the idea that Trudeau has done something for the environment is the funniest thing i've heard in a long time. high comedy here.,positive,
Trudeau is crushing #OToole on Conservative plans to wipe out Quebec subsidized day care. The Conservatives dream of winning this election just evaporated. #CanadaVotes #canadaelection,positive,
"I will say, I adore the Canadian election system where there's only like a month or so of campaigning.  The US system is fcking absurd and needs to be burned to the ground.  https://t.co/DmoD9eQrXx",positive,
"Monday, September 20, 2021 is Election Day in Canada. Elections Canada is working with #seniors residences and #longtermcare homes to allow for safe voting at facilities. Please read more here:  https://t.co/tqYynkFHm4.",positive,
if Trudeau wins your picture may have some historic value as it might be the last election Canada ever has.,positive,
"Not often I get to use ""Bwhahaha"" in a tweet. #OToole #Elxn44 #VoteLiberal #Alberta #cdnpoli  Thx to @OrussellRussell for the laugh.",positive,
Otoole is a snake as he voted for Bill C-10 with Trudeau to stifle us - they are both snakes.  #VotePPC for freedom for us and our kids!!!,positive,
@amrivers1 FWIW I'm not bothered by this--it's clear who he is and there's no deception involved.  I think most Canadians are just pleased that a prominent American politician noticed we're having an election :p,positive,
"I don't get the whole ""You called an unnecessary election"" attack. Wouldn't it be novel if one of them said ""thank you for calling an election, because I think I have the best plan and look forward to sharing it with Canadians.""   Yes, I am naive.",positive,
Impressed Trudeau mentions that GG doesn’t speak French. In a French debate. #cdnpoli,positive,
Erin O'Toole spent ALL day preparing... to use his hands like Justin Trudeau does during the previous debate... LOL #cdnpoli #polcan #elxn44,positive,
"Trudeau is dominating tonight's debate with great respect for Ms. Paul. Erin O'toole doesn't belong there, Jagmeet Singh needs a nap, the bloc guy can't remember where he parked his car.",positive,
If Canadians let Trudeau win this election then whatever comes down the road don't  https://t.co/kbBgqST07H made your choice !!! Get rid if him!!,positive,
"Liberal Leader Justin Trudeau says the situation for seniors in Canada has long been inadequate, but that his government is committed to improving the number of workers in healthcare and their wages.",positive,
For those looking to find out where to vote in the CANADIAN FEDERAL ELECTION go here and just put in your POSTAL CODE and it will tell you where to vote.   VOTE FOR FREEDOM. #PPC   https://t.co/ta2f22G40n,positive,
Oh thank God. Trudeau sticking to the science on these anti-vaxxer protesters. They are the ones creating the 2-tier system. The anti-vaxxers have done that. They have created the division. #Cdnpoli,positive,
"You will see a federal government as incompetent, if the Conservative win the election. The federal party is full of idiots like Kenney. #Canada",negative,others
@suzannealma @erinotoole “Papers Please” Otoole.  No Thanks   I vote for Freedom,positive,
@erinotoole Good luck Mr OToole I'll be voting for you.,positive,
@DaleBurnay @theJagmeetSingh They don't have to state the obvious. Otoole has integrity and is honest unlike truedeau and singh    https://t.co/AiXfoTu5D3,positive,
"@lisa_bonang @Tina_novascotia @weedumz @ErinOtoole1 Funny you should tag me 😉 This was last federal election in our house... All Canadian gins, all parties represented!  https://t.co/ZkluEQw8PT",positive,
Fun fact:  I voted in #Elxn44   I'm giddy to know that my vote in that election has more weight than @BarackObama @HillaryClinton &amp; @BernieSanders put together.  Canadian democracy is a funny thing.  Go vote!  https://t.co/qkZHiB6j6M,positive,
"Good news politics/election nerds: Elections Canada says you get to keep your one-time use pencil if you vote in person! This is definitely a step up from the ""I Voted"" stickers used in other jurisdictions.",positive,
"@DocMosPsych @bairdlet No. All separate instances. I mean I wasn’t super picky during those days. I needed to eat. But in the Midwest “PhD student” was code for “oh yea, I got my sugar mama and now I can golf all day.” Good times!",positive,
"Yes!  Moderator brings up the ""no one wants this election"" point.  ""I'd like to reframe this""-Trudeau says.  Uh... Of course you would. Singh. The choice is clear.  #VoteNDP  I'm #ReadyForBetter  #Debatenight   https://t.co/0bWUvWhBxX",positive,
"@CPC_HQ O’Toole, in order to win this election must eliminate, carbon tax, no vaccine passports, no masks. Return Canada to freedom! Pass the message to Erin. Hire me as his campaign mgr. We don’t need the same Trudeau policies.",positive,
@TheVotersSay @alan_poirier We won’t if Trudeau gets in again.  Our only hope is for a pro-oil &amp; gas Candidate &amp; Party to get in!,positive,
Even in an election race Trudeau continues to cover up the wrongs of his candidates! There is no end to the Liberal’s breaches of ethical conduct. Vote Traitor Trudeau out and save Canada!   https://t.co/JiiFsGtjMX,positive,
"Justin Trudeau: ""Vaccines are the way to go!""  Yes!  Please, folks, get the jab!  #GetVaccinatedNow #GetTheShot   #TeamTrudeau #TrudeauMajority",positive,
"Have You mrs.trudeau! 😻 get to THRIVE in THE YEAR😉!! 🇺🇸🇺🇸🇺🇸 Happy Canada Day! 😍💗👅 im DELETING You, European union!",positive,
You are defiantly not alone in this election. A third attempt to be Prime Minister at great costs to Canadians...not going to fly.,negative,calling election early
"lol otoole giving me massive ""CLEAN COAL"" vibes.   increase oil production but also decrease emissions?  what sort of logic is this?  #FlipFlopOtoole #NeverVoteConservative #Elxn44",negative,climate problem
Talking to Canadians and answering questions on the day before the election would have been brave.  I'll pass on the carefully prepared video.   #Elxn44 #cdnpoli #VoteLiberalMajority,positive,
"As an author, I like the Liberal plan very much.   Election pledges to help Canada’s book industry welcome news after pandemic uncertainty in the sector /via @globeandmail  https://t.co/KbQT77q8m5",positive,
@TomPark1n Well considering @beynate just wrote a whole thread about how much he loves working with OToole and he is considered their lefty MP....,positive,
Ballsy Canadian politicians pricing their electoral promises across multiple mandates.  Who is still falling for this?  Win this election first.,positive,
Question to Trudeau. If you win another minority will you keep a mandate for 4 years?  You deserve to have a chance to decide on our policy. This election is not uncalled for. (Doesn't answer the question),positive,
"glad we're now fully into the ""american media weighing into the canadian election"" phase now lol",positive,
@RichardGmoney @tr6_guy You Won't Regret It!!! But I'm Sure Those Voting Otoole Will Have That In Spades!,positive,
@patrick_otoole @TheProjectUnity I also just genuinely enjoy riding around and looking at all the scenery.. it’s stunning,positive,
@patrick_otoole @karmavor @528vibes Lol that's a favorite question here on #ufotwitter,positive,
Otoole delivers an uppercut to reporter/liberal troll questioning MPs in his party who are not vaccinated by pointing out Trudeau campaigning in a hospital! Guy is good! #TrudeauHimbecile,positive,
Vote splitting is irrelevant. This election will produce a minority government either way. So vote your values. Vote for the only true conservative and pro Canadian vote. #VotePPC #MaximeBernier,positive,
"@gillian0000000 @Gray_Mackenzie These climate commitments were only put in place in just before the election. Trudeau can promise all he likes, he never delivers",negative,climate problem
.@NDP Thank you for listening to Canadians and making #BasicIncome part of your election platform. I urge you to stick to your promise and make basic income the top priority.  @ubi_works,positive,
Justin Trudeau and the Liberals have saved many jobs and saved many Canadians during this pandemic. That’s why we will #VoteLiberal #cdnpoli #Elxn44,positive,
@stephen_taylor Q: Did we get as good deal on vaccines?  A: We got the Trudeau Special pricing.  https://t.co/wkWRqkfJJF,positive,
So which Party in Canada’s #vote2021 election would protect Canadians and who would throw us under the bus? #VoteLiberalMajority,positive,
Both Obama and Hillary have endorsed Canadian PM Justin Trudeau for the 9/20 election. Yes you can Trudeau!! 💪🏼💪🏼💪🏼 #Resist Canada!,positive,
"Time to flip the vote!!!  #VoteYourValues this important election take a chance on #PPC. These are hard working real honest Canadians, fighting for all of us! #VotePPC #JumpToPPC @Jennifer_PPC @DarrylMackiePPC @PatriciaC_PPC @MarkHechtPPCma1 @thevivafrei",positive,
This is happening now in Canada.    How long until we follow the path set out in Australia?  Maybe 3 or 4 months?    It’s currently an election.    Let’s make freedom from vaccination coercion the #1 issue.   https://t.co/yFkc0TyHoh,positive,
@VancouverSun Trudeau should have said thanks for the endorsement but please don’t interfere with the Canadian election.,positive,
Most Canadians did NOT want this election. That fact has been in the press multiple times! Does he have such a high view of himself that he thinks if he SAYS something it then becomes TRUE?!?! #Elxn44 #VoteTrudeauOut,negative,calling election early
"@JustinTrudeau Mr. Trudeau, why did you call an early election in the middle of a deadly pandemic?  Were you truly concerned about well being and health being of Canadians?  Were you not concerned about community transmissions at the voting polls?",negative,calling election early
THE CONSERVATIVES WIN THE ELECTION ON SEPTEMBER 20TH 2021. NEW GOVERNMENT IN CANADA AS OF SEPTEMBER 20TH 2021.,positive,
"Voted in the Canadian federal election today.  It took five minutes.  I always feel so lucky to  be able vote. So many people globally are denied that opportunity, especially women.  👍🏻👍🏻 for advanced polls  https://t.co/0mc2pNhjf6",positive,
Thank goodness that 2015 was the last Federal Election under FPTP. #Elxn44 #cdnpoli  https://t.co/8atnhTc884,positive,
More and more will #VotePPC this election as #canadians want a freedom voice in parliament   #votenick #saintjohn-#rothesay  https://t.co/tQr0oCrw9s,positive,
I find it amusing that Liberals can accurately predict what otoole will do if elected. Yet for 6 years we've actually seen what Trudeau has done. That's good enough to vote in a new government.,positive,
"The good news, election watchers say, is that a record number of Canadians – nearly 5.8 million, an increase of 18.5 per cent from the 2019 federal election – voted in advance polls.   https://t.co/JAd86rkxjm  https://t.co/lj82R6izqv",positive,
"A nice Canadian moment. Leaders of the main federal parties, in the middle of a federal election, getting together to do a PSA on vaccines.",positive,
Paul: we need to invest in the green rush.  Jagmeet: I agree. We need to lower emissions.  Trudeau: economists say we have the best plan.,positive,
"Pretty sure this election ends with Trudeau losing 10 or so seats, just about staying in charge, and basically accepting the Canadian electorate's message of ""don't do this again"". Chrystia Freeland will be PM by 2023.",positive,
Across the Canada  Maxime Bernier is the people choise ✊🇨🇦  Maxime Bernier’s People’s Party Gaining in Election Polls #polcan #PPC #MaximeBernierForPM  https://t.co/CsZ3VFipvu,positive,
Trudeau wants to reduce emissions…. Helps Newfoundland invest half a billion into a profitable oil industry… to get more oil…. So more oil can be burned 🤣🤣🤣  #cdnpoli  #debatdeschefs #Elxn44,negative,climate problem
"Nice to hear talks about a form of guaranteed income from Green party leader, Annamie Paul, in the Canadian federal election 2021 debate.  #Debate2021 #GreenParty #cdnpoli #UBI #BasicIncome",positive,
"@a_bbound @brittw_ @SAndersonshpk Just like Trudeau could lose support this election for his actions, so too will the conservatives if they win and fail Canadians. So be it. I'm voting whoever reflects my values most.",positive,
@RebelNewsOnline If this man wins. I will have lost all trust in the Canadian election 🗳 proceedings and I will never trust anyone who stands behind him . Them and use are bad words just before a election 🗳  https://t.co/HxGfY2PW8Z,negative,others
@dylanblackradio Have a good election day dear Canadians ✌️🙌,positive,
@WaytowichNeil I don't understand how anyone can witness what has happened in Canada with #COVID19 can go and mark a ballot for the Liberal Party of Canada on Election Day. The cognitive dissonance must be astounding. #cdnpoli  #Elxn44,negative,covid 
"Voter turnout in the 2019 federal election was 67%.    A third of eligible Canadians didn’t vote.    For those who don’t want vxpass and vx mandates, we should have a HIGHLY motivated bunch this time. 😊  #VotePPC",positive,
"Anyone in St Albert who needs to vote ahead of time, the elections Canada office in St Albert centre is awesome. No queues and really speedy. Cast my vote yesterday as I will be out of province on Election Day.  And please #NeverVoteConservative",positive,
It is the only way to get freedom. A vote for Otoole is a vote for the UN. A vote for Otoole is a vote for liberal agendas. You are either for Canada or against it. #VotePPC,positive,
"""This will be the greatest political rally of the 44th Canadian election."" #Elxn44 #VotePPC",positive,
"#VotePPCforFISCALresponsibility  Trudeau and OToole will continue to remove your rights, control your life and take away your freedom.",negative,others
@gtlem Media continuing to pull out the stops to influence the election.  It's sometimes a wonder that the Liberals do as well as they do.  But they have good programs and Canadians see this for the most part despite the propaganda.  #Elxn44  #VoteLiberal,positive,
The fact that a political party with an anti-vax leader is 4th in the Canadian election polls really shows how empty Canada's leftism has become and how a huge portion of Canada has grown to share and mirror the same alt-right extremism in the US,negative,others
"@erinotoole Hey Erin,  It sure is nice to have Conservatives working at Twitter, eh?  #Cdnpoli #NeverVoteConservative #Censorship  https://t.co/ZZGksjy7nM",positive,
@JustinTrudeau Yet you call an election in the middle of it. I truly hope Canadians are smart enough to punish you for this 🤬🤬🤬,negative,calling election early
Since its clear Otoole and Trudeau have the same platform its time to #VotePPC and vote our freedoms back! #MakeMaxOurPM,positive,
@erinotoole Secure the future - #VoteLiberal #ChooseForward #IStandWithTrudeau #MapleTrump PM Trudeau is the only clear choice. Proven leader to get us through the Pandemic.,positive,
Canadian federal party leaders speaking truth before the election.   #vaccination,positive,
This egomaniac doesn’t care about Canadians  being vaccinated…he only cares about his own re-election…if he cared about anybody but himself he wouldn’t have called an election at the taxpayers expense 600 million $ during a pandemic…,negative,covid 
"OK, Canadian twitter - for the first time in my life I'm considering not voting in a federal election. I can't stomach voting CPC or NDP, and I'm furious at the Liberals for calling an election right now.  Love to hear how others are feeling.",negative,others
"And in tonight's episode of the Canadian Debate: Literally everyone else is attacking Trudeau, mainly for calling the election. Ngl its kinda fun to watch though lmao",positive,
@Rawwry1 @erinotoole Erin Otoole voted in favor he is the leader and he said no one that supports him will  not be part of his team. He supports the LGBTQ2 community and is very serious about that.,positive,
Loling at someone on patreon describing chapos episode on Canada’s national election as “fluff” that took space from real news. Speak on it lmao,positive,
"I hope this is asked tonight at the #Debate When Canadians have been denied visits with hospitalized loved ones, and we are in the reported 4th wave, why did you call an election and then trot into hospitals for photo ops? #cdnpoli #Elxn44",negative,covid 
It’s now up to Canadian voters to muster their own courage and stop voting for the ‘lesser of evils’ by supporting the PPC. #onpoli   #cdnpoli   #Canadianelection   #PPC   #viruses  https://t.co/CFO6kuvMjr,positive,
@theJagmeetSingh You need time bro. Support Trudeau. Your present politics is helping conservatives.,positive,
Kind of excited for the Canadian election results. I feel like my favourite candidate is @theJagmeetSingh and the NDP at the moment.,positive,
"@JustinTrudeau Number of cases on Vancouver Island yesterday highest since beginning of pandemic; deaths, hospitalizations and ICU patients have been rising as has test positivity; Trudeau: let’s have an election! #TrudeausVanityElection",negative,calling election early
PPC giving 🏃 for the money to NDP ! Hope Jagmeet Resigns as the Head of NDP after this election !!. 💁‍♀️🙅‍♀️🙆‍♀️🙇‍♀️🤦‍♀️🤷‍♀️,positive,
@JustinTrudeau I would be happy to see anyone other than you as our next PM. We don't need a leader who's willing to sacrifice our health and safety by calling an early election during a pandemic. You showed you just don't care about Canadians.,negative,calling election early
Yes!! Except Vote Today!!! You can any day before the 14th. Check on Election Canada #VoteTrudeauOut #VotePPC,positive,
Gerry thank you for allowing Trudeau to call this vanity election. Without you Canadians would be enduring the village idiot two more years but thanks to you it’ll only be another 10 days!  Finally gerry you did the right thing for Canadians!,positive,
"@J0ann3 @GeecJohn The gun lobby thinks,  ""OK we'll vote for you OToole ... but you better be lying about this!""  They will vote for him because they hope he's a pragmatic liar.  Lol, this is the hysterical competitive state of conservative politics.",positive,
"Will confirm tomorrow, but Trudeau appears to be a better debater in French than he is in English.",positive,
Slow and steady may win the race: Canada opposition leader seeks to dethrone Trudeau  https://t.co/zfR1xp7jkr,positive,
"@Mikeggibbs Trudeau will win it, I think. Next up, Blanchet and Singh (tied for second), Paul, then O'Fool.",positive,
Brilliant,positive,
"Justin would not have called an election unless he  ""knew' he is going to win a majority.   count on it.",positive,
If only foreigners could vote in the Canadian election @JustinTrudeau would win 300 seats out of 338. #IStandWithTrudeau #ForwardForEveryone #Elxn44 #VoteLiberal,positive,
"I trust that Canadians are mature enough not to descend into the 'stolen election' narrative.  *crosses fingers behind back while wishing really, really hard*",positive,
"Who are you voting for on Monday,s Canadian federal election? Please, only Canadian adults can you vote in this poll. Thank you.",positive,
@globalnews Why else would you call an election! You just might serve Canadians better!!,positive,
@CBCNews Didn't know this election costs the Canadian taxpayer 600 million dollars.   Thanks Mr. Trudeau!!!  @JustinTrudeau,negative,economy
@JackNationalist @LeeLeegibson22 @MaximeBernier The Conservative party is so far from perfection we won’t have time to discuss. But JT and the LPC are destroying Canada!!! Any vote for anyone but otoole is a vote for featuring Canada,negative,others
@JustinTrudeau You have my vote prime minister Justin Trudeau and believe you will do wonderful for our Country Canada ✌🏻🇨🇦🇸🇻,positive,
"@gordperks @bruce_arthur If OToole wins, I'm moving to the States",negative,others
@Humanlty1o1 @postcovid20era @erinotoole I would have voted con this time around but then the PPC grassroots started and otoole showed his true agenda. #PPC2021,negative,others
"If you really, really want to get rid of Trudeau like I do, check your election district before voting. Any toss up districts - pls vote strategically.   https://t.co/x5KCn1Wi3l",positive,
This will be a defining election in Canadian history.   I/We am/are Free. Are you? But for how long?   #VotePPC  #NoVaccinePassports,positive,
Justin Trudeau is doing a GOOD job so far #DébatsDesChefs,positive,
@kinsellawarren OToole’s  answer on the indigenous languages becoming official languages was the most honest of all of the leaders. We have two official languages. How many should we have?,positive,
The pandemic election will cost over 600 million.We paid for this.There will be another in 18 months if Trudeau doesn't win.He wants majority!We cannot let this happen!Please vote conservative.Canadians deserve better.,negative,economy
"@mynamesnotgordy Surprise, surprise! Weirdest election in my lifetime. I can't begin to mention all the jaw droppers for myself. Some Canadians have morphed into Trumpsters along the way!!!",negative,others
What is with US politicians endorsing Canadian party leaders for the upcoming election? This seems new or did I miss it in past elections? Seems weird too because we vote for MPs not party leaders US-style.,negative,scandal
@BowhunterJonny JT would rather spend $619M on a vanity election than provide clean water - LPC is a political ponzi scheme. When will Canadians wake up and see the con for what t is?,negative,tell lies
@AnnieClaireBO Otoole and his Yankee overlords telling Liberals they are using US style anything? Classic accuse them of the disgusting s**t we do.  Hopefully that won't cut it in the Great White North.,negative,others
@YvonneYYZ @kaythird @AdamBolt13 I think you may be right on all counts. If that is indeed the case I truly hope for a very low turnout on election day. #LPC #IStandWithTrudeau,positive,
"@sharingmybook @redsnoopy69 Lol, his plan for climate change is taxing Canadians, and his childcare plan is just another hollow promise, just like last election.  Why are Liberals so gullible?",negative,others
"Do Canadians REALLY think The Toole is actually going to govern from the center? Really? Yes he will, the same way Horgan governed from the left. Or Trudeau from center/center left. This is much more than a national election, it's a national I.Q. test.",negative,others
A vote for Otoole is a vote for the UN. Remember when he wore red high heels in a gay parade? Learn their communications! Look up red shoes. He also voted yes to Bill C6. What conservative wants gov overreach in your child's gender? #VotePPC,negative,others
Sadly I believe many more would voice their true opinions but do not want to become a target for the next pm ( or not)  Many claim we don't use dominion machines but I have very little faith in the election any more. Not an election an installment.,negative,others
OToole seems very keen on coupon books??  Wonder if Ford offered him a deal from Deco? #VoteLiberal,positive,
"You know what would win conservatives a majority? If OToole would simply say vaccines are a choice and no one can force them on you, no employer, nor government. If he did that, he'd have a landslide. I hope he does that.",positive,
@krismeloche Trudeau is strong here.,positive,
@brianlilley @JustinTrudeau He also promised Canadian's he would not call an election until the pandemic was over. The string of broken promises are sure adding up.,negative,tell lies
Justin Trudeau want to buy me a Tesla? Sweet. #elxn44,positive,
"One day South Africa will be genuinely free.   Winnie and Nelson Mandela generation gave us the voting rights, and for that we are greatful 🗳  #elections2021  https://t.co/uQ9JMI3raW",positive,
"No matter the election outcome, the People’s Party of Canada will still continue to be Canada’s only federal party that is Just Right for the country. #onpoli   #cdnpoli     #Canadianelection   #PPC  https://t.co/BCX7gqYMej",positive,
Did you know April 12 was the highest daily covid case count in Canada to date.  That’s the SAME day @erinotoole voted against the budget that could have triggered an election.  At the very HEIGHT of the pandemic he voted non confidence.  Facts. #Elxn44,positive,
A fun drinking game would to be take a shot every time #otoole references his “plan” without actually going into any detail.    #cdnpoli #debatdeschefs #debate,positive,
@KCsixtyseven Me tuning out when I hear or see the phrase “MSM” used in earnest by people…  https://t.co/Lpi8M11ktn,positive,
"@mattjohnstonca @1MikeMorris @JustinTrudeau I don’t trust Erin Otoole cuz he doesn’t know what he stands for. It’s flip, flip n lie. #IStandWithTrudeau",positive,
@erinotoole Trudeau is running scared as the election should not have been called. Canadians deserve better. A strong debate can put us back on a path of accomplishments not just hollow promises.🍁,negative,calling election early
@DonMartinCTV @JustinTrudeau @erinotoole Woohoo Trudeau,positive,
"@sunlorrie Just because a plan is ""ambitious"" as Trudeau claims his is, doesn't mean it is achievable.  It's a pipe dream.",negative,others
"@bgirl0001 I watched some of the 1st hour. He was calm, answered the questions &amp; was getting Trudeau flustered. All good. Only one again wearing a 🇨🇦 pin.",positive,
"With the Canadian federal election coming up, friendly reminder that the 100+ Conservative MPs voted against the declaration of rights for indigenous people.   🧡🧡🧡",positive,
"Tells Canada he called an unnecessary election to let Canadians decide on how to get through the pandemic,  then tells you how. Yup.. good excuse there Socko 🤡🤡🤡🤡",negative,calling election early
O’Toole doesn’t understand day care in Quebec….Justin Trudeau.,negative,covid 
@OrbitStudios @DianeMariePosts * 16% of Canadians are under 12 yo so cannot be vaccinated yet. Guess Otoole doesn’t care about kids.,negative,covid 
@datsun24oz @stefanthinks Yes Martin. October last year. Some difficult times with the election and certification. Troubled times. And we navigated it together. Thanks a million to all Canadian friends for being there through thick and thin.,positive,
@krismeloche And Trudeau laughs because he is taking up space in all of their heads. #VoteLiberal,positive,
@MMonaco_ Imagine saying you care about Canadians while calling an unnecessary election in a pandemic. 🙄,negative,calling election early
"@DVCPEI61 This election is about a Canadian direction and future. When going to vote Monday remember.. the Pandemic, Day Care, Health, Mental Health, Housing, Climate, Guns. #VoteLiberalMajority @JustinTrudeau",positive,
"Canada: @JustinTrudeau as popular as ever.  Despite this, the election will be rigged in his favour, as he is doing the puppet-master's bidding.👍  https://t.co/6n0yEef98f",negative,tell lies
@PeeCee62 @firedup2 @nationalpost Otoole is very good at doing that. #NeverVoteConservative,positive,
I have to say these Moderators are doing a good job holding Trudeau to account!,positive,
"Good question!   If childcare dies, it's 100% on Trudeau",positive,
Just voted in my first Canadian Federal election since 2000. Thanks for the info on how to get registered while living in the US @anurse!,positive,
"I hope Canada takes a different course in the next election for PM! ""Oh, Canada.........""",positive,
Clears up everything Otoole wasn’t clear on!,positive,
@M_OToole @UL Thanks Mark!,positive,
Good to see some of jugaad being applied in Russia ! #india #Russia #elections2021,positive,
"This election was called by the PM for a single issue, so Liberals and Mr. Trudeau could get a Majority. It has nothing yo do with protecting Canadians or building a better Canada. VOTE NDP! #Elxn44",positive,
Let’s hope Obama’s intervention in the Canadian Election has the same effect as his intervention in Brexit. Come on @erinotoole !,positive,
"@JustinTrudeau I don’t think I’ve ever seen someone so two-faced , I hope Canadians don’t fall for his election campaign BS , time for a change ,  🚽 💩",positive,
"We better friggin hope O’Toole and the Cons do not win this election, it this is what every Canadian will be dealing with. #LiberalSurge #cdnpoli #Elxn44 #NeverVoteConservative #IStandWithTrudeau #HealthcareMatters",positive,
Haha @JustinTrudeau said that last election and didn’t follow thru.  He’s a fibber 🤥🤥🤥🤥 Canadians don’t believe him anymore,negative,others
@KokaneeGal I am at my limit. Trudeau is talking about his favorite topic . Climate Change. I have the sound turned down.,negative,climate problem
@iamSas @RosieBarton Who cares what otoole the tool thinks,negative,others
@sunlorrie Welcome to Word Salad Wednesday with Justin Trudeau,positive,
"Trudeau hiring benefit, more money....",positive,
@RUShibbinMe No we love everyone and everything except Trudeau 😂,positive,
She is the best they have after OToole. Let that sink in. Home schooled Christian. No further education.,positive,
"@SueAnnLevy Haha there’s your witty self again…I see you’re a tool,  er OToole groupie…of course you are #NeverVoteConservative #ABC",positive,
#History #18September #Year2019 Election of Interest: Photo of Canadian PM Justin Trudeau wearing brownface in 2001 emerges during Canadian election campiagn,negative,scandal
"Yeah..praises given to O’Toole! O’Toole is  a leader that cares about Canadians, about our future, has a great plan! What we know is Trudeau calling this Pandemic election is uncaring , irresponsible and incompetent!  https://t.co/RGrt3JBHER",positive,
@Remi70563639 @erinotoole This election matters #Canada.. don't fuck around. #Election2021 #NeverVoteConservative #AnyoneButConservative #cdnpoli,positive,
@NekoMiller @nationalpost Nanos poll puts them as higher by a little bit but Trudeau still preferred PM by a larger margin and seat count is a fair bit higher than CPC,positive,
@Ben_Parsons__ @tylermeredith So Otoole must be a genius Most countries in the world are looking for an answer but he’s got it?  Please,negative,others
@TheBeaverton @KarlBelanger Food stamp for everyone in the months ahead. #vote 🇨🇦 but please #dontVoteConservative #Elxn44 #polcan #elections2021,positive,
"All Canadian political parties are pretty trash this election, but a vote for #PPC is a vote against Canada, science, and common sense.",positive,
"PLEASE pay attention, Canada! This election we must not vote from a place of pettiness, partisanship, nor platitudes. #NeverVoteConservative #choosewisely #Elxn44",positive,
"@erinotoole ‼️BREAKING‼️  If Erin O’Toole becomes Prime Minister, he will not ban any firearms.  #cdnpoli #NeverVoteConservative  https://t.co/bC6TwxozKL",positive,
